"Activity_Id","fk_User_id","fk_Pet_id","VR_loading_time","duration_activity","log_id_act",
"1","25","157","91.4","8.3","444",
"2","287","131","19","0.5","105",
"3","192","285","100.2","2.9","687",
"4","237","292","108.3","2.1","1728",
"5","128","189","116.1","5.7","1235",
"6","146","341","179.2","4.4","2069",
"7","230","178","151.1","4.3","484",
"8","127","207","149.4","2.8","1918",
"9","88","154","52.9","9.8","1929",
"10","155","12","29.1","9.7","1503",
"11","31","177","42.5","8","595",
"12","196","99","66.1","2.3","1343",
"13","30","41","11.2","0.3","460",
"14","32","342","27.7","1.8","1782",
"15","169","277","52.5","5.9","1870",
"16","266","244","74.1","5.4","518",
"17","203","128","138.6","0.3","1350",
"18","299","319","84.6","2.4","2938",
"19","60","285","152.8","5.8","415",
"20","80","190","150.4","9.2","2282",
"21","34","3","8","2.1","2884",
"22","211","20","75.2","7.5","866",
"23","80","107","152","8.2","621",
"24","16","87","48.1","3.7","178",
"25","90","97","176.5","4.1","1916",
"26","187","320","139.8","1.8","1430",
"27","119","337","123.7","6.1","2296",
"28","62","78","18.9","4.1","1953",
"29","141","342","120.8","3.1","463",
"30","152","147","25.7","4.6","478",
"31","4","126","97.7","5.4","2473",
"32","215","320","84.1","9.5","2028",
"33","216","282","21.2","6.5","2999",
"34","131","318","28.4","7.1","2313",
"35","52","74","87","0.7","667",
"36","221","308","167.4","6.7","2134",
"37","35","140","128.7","6.9","823",
"38","38","66","164","7.2","272",
"39","224","234","110.5","9.5","1623",
"40","44","289","68.6","4.9","2477",
"41","157","301","120.5","4.7","2450",
"42","270","184","64.6","6.4","2928",
"43","123","341","176","3.5","2228",
"44","189","270","74.3","7.4","1128",
"45","43","261","70.9","8.6","1808",
"46","75","317","172.5","6.5","2670",
"47","125","301","54.2","1.5","1613",
"48","168","342","141.2","7.7","1369",
"49","17","104","117.3","2.4","1425",
"50","43","102","8","0.4","1374",
"51","73","343","26.5","1.1","2686",
"52","190","350","148.5","1.1","2727",
"53","35","206","52.7","4.4","204",
"54","227","122","66.8","8","1463",
"55","256","24","8.4","6.8","2154",
"56","271","220","140.9","3.2","2980",
"57","54","49","39.1","6.5","726",
"58","279","338","27.7","8.4","2119",
"59","41","102","139.5","5.3","2828",
"60","192","215","39.4","9","2186",
"61","241","112","85.4","2.8","1454",
"62","297","172","152.6","1.6","2939",
"63","186","100","32.5","1.8","1631",
"64","156","37","44.4","4.5","1064",
"65","262","282","76","3","2075",
"66","62","60","76","5.5","1942",
"67","273","84","82.4","4.5","362",
"68","257","111","178.3","9.5","584",
"69","251","163","27.2","4.4","2654",
"70","73","317","120.8","7","54",
"71","117","169","59.4","9.3","117",
"72","82","30","69.4","6.2","734",
"73","260","52","2.6","9.4","524",
"74","239","181","112.2","5.2","1414",
"75","160","243","144.8","8.9","2996",
"76","281","31","165.3","0.8","2861",
"77","67","126","62.2","9.8","520",
"78","252","322","89.4","2.8","1151",
"79","94","153","76.4","4.6","404",
"80","90","298","8.1","6.1","2851",
"81","141","262","85.8","8.5","1464",
"82","146","93","82.7","9.5","116",
"83","1","318","120.1","2.3","1521",
"84","60","77","169","3.7","1655",
"85","267","58","12","2","1658",
"86","258","242","126.3","7.6","127",
"87","231","278","66.9","3.7","1576",
